headline,impact_score,published_at,category,ticker,source,sentiment_label,urgency,data_type
Market event impacts volatility,9.9,2025-06-05,fed,NVDA,Bloomberg,negative,high,news
Market event impacts volatility,64.85,2025-06-06,crypto,SPY,Bloomberg,positive,low,news
ETF event impacts volatility,66.05,2025-06-06,macro,NVDA,CNBC,positive,low,news
Fed event impacts volatility,64.72,2025-06-09,macro,SPY,Bloomberg,positive,medium,news
AI event impacts volatility,26.83,2025-06-09,macro,TSLA,Reuters,positive,low,news
AI event impacts volatility,37.98,2025-06-10,macro,BTC,CNBC,positive,high,news
AI event impacts volatility,1.72,2025-06-10,crypto,TSLA,Reuters,neutral,low,news
Market event impacts volatility,39.82,2025-06-11,macro,TSLA,Reuters,positive,high,news
AI event impacts volatility,25.17,2025-06-11,macro,SPY,Reuters,neutral,high,news
AI event impacts volatility,88.19,2025-06-12,ai,SPY,Reuters,neutral,high,news
Fed event impacts volatility,51.91,2025-06-12,fed,NVDA,Bloomberg,negative,medium,news
Market event impacts volatility,76.59,2025-06-13,ai,TSLA,CNBC,positive,medium,news
Fed event impacts volatility,18.72,2025-06-13,earnings,NVDA,Bloomberg,neutral,high,news
Bitcoin event impacts volatility,25.44,2025-06-16,fed,BTC,CNBC,positive,medium,news
AI event impacts volatility,83.65,2025-06-16,earnings,NVDA,Reuters,neutral,high,news
Bitcoin event impacts volatility,66.21,2025-06-17,earnings,TSLA,Bloomberg,positive,low,news
Fed event impacts volatility,12.16,2025-06-17,earnings,TSLA,CNBC,positive,medium,news
Market event impacts volatility,38.51,2025-06-18,ai,TSLA,Bloomberg,positive,low,news
Bitcoin event impacts volatility,71.34,2025-06-18,earnings,BTC,Bloomberg,positive,low,news
Market event impacts volatility,9.62,2025-06-19,ai,SPY,Bloomberg,neutral,low,news
Bitcoin event impacts volatility,0.68,2025-06-19,macro,TSLA,Reuters,neutral,low,news
ETF event impacts volatility,2.37,2025-06-20,crypto,TSLA,CNBC,positive,high,news
ETF event impacts volatility,42.82,2025-06-20,crypto,NVDA,Bloomberg,positive,medium,news
Bitcoin event impacts volatility,1.46,2025-06-23,earnings,TSLA,CNBC,positive,high,news
Market event impacts volatility,44.29,2025-06-23,fed,BTC,Bloomberg,neutral,medium,news
Market event impacts volatility,83.34,2025-06-24,fed,SPY,Reuters,negative,low,news
Fed event impacts volatility,6.7,2025-06-24,earnings,SPY,Reuters,neutral,medium,news
Market event impacts volatility,95.68,2025-06-25,ai,BTC,Reuters,negative,low,news
AI event impacts volatility,45.53,2025-06-25,earnings,BTC,Reuters,positive,high,news
AI event impacts volatility,1.05,2025-06-26,crypto,NVDA,Bloomberg,neutral,high,news
Fed event impacts volatility,26.8,2025-06-26,crypto,BTC,Reuters,positive,high,news
Fed event impacts volatility,41.05,2025-06-27,crypto,TSLA,CNBC,negative,high,news
Fed event impacts volatility,18.14,2025-06-27,earnings,NVDA,Bloomberg,neutral,medium,news
AI event impacts volatility,90.46,2025-06-30,crypto,NVDA,Bloomberg,negative,low,news
AI event impacts volatility,47.08,2025-06-30,earnings,BTC,Reuters,neutral,low,news
ETF event impacts volatility,11.17,2025-07-01,crypto,BTC,Bloomberg,positive,medium,news
Market event impacts volatility,68.36,2025-07-01,ai,BTC,Bloomberg,positive,high,news
Bitcoin event impacts volatility,80.07,2025-07-02,earnings,SPY,Bloomberg,negative,medium,news
AI event impacts volatility,64.62,2025-07-02,fed,TSLA,Reuters,neutral,medium,news
Bitcoin event impacts volatility,59.65,2025-07-03,fed,NVDA,Bloomberg,negative,high,news
Market event impacts volatility,96.25,2025-07-03,ai,SPY,CNBC,positive,low,news
Market event impacts volatility,11.53,2025-07-04,earnings,TSLA,Bloomberg,positive,medium,news
Market event impacts volatility,29.86,2025-07-04,fed,BTC,Bloomberg,negative,low,news
Bitcoin event impacts volatility,9.52,2025-07-07,macro,BTC,CNBC,positive,high,news
ETF event impacts volatility,30.73,2025-07-07,ai,SPY,Reuters,negative,medium,news
ETF event impacts volatility,15.46,2025-07-08,fed,SPY,Reuters,neutral,medium,news
AI event impacts volatility,59.4,2025-07-08,fed,BTC,CNBC,neutral,low,news
Market event impacts volatility,53.56,2025-07-09,crypto,TSLA,Bloomberg,neutral,high,news
ETF event impacts volatility,32.44,2025-07-09,earnings,SPY,Bloomberg,negative,low,news
ETF event impacts volatility,1.62,2025-07-10,fed,NVDA,Bloomberg,neutral,high,news
Market event impacts volatility,78.44,2025-07-10,crypto,NVDA,Reuters,positive,medium,news
Fed event impacts volatility,43.67,2025-07-11,fed,NVDA,Reuters,neutral,high,news
Bitcoin event impacts volatility,62.86,2025-07-11,fed,SPY,Reuters,positive,high,news
Bitcoin event impacts volatility,19.79,2025-07-14,macro,BTC,Bloomberg,positive,low,news
Fed event impacts volatility,17.45,2025-07-14,macro,BTC,Bloomberg,neutral,low,news
Fed event impacts volatility,1.6,2025-07-15,earnings,NVDA,CNBC,neutral,medium,news
Bitcoin event impacts volatility,51.37,2025-07-15,ai,BTC,CNBC,negative,high,news
ETF event impacts volatility,58.66,2025-07-16,earnings,NVDA,Bloomberg,neutral,low,news
AI event impacts volatility,49.16,2025-07-16,crypto,TSLA,Reuters,negative,high,news
AI event impacts volatility,0.75,2025-07-17,earnings,NVDA,Bloomberg,positive,medium,news
Bitcoin event impacts volatility,43.11,2025-07-17,macro,SPY,Reuters,neutral,high,news
ETF event impacts volatility,49.34,2025-07-18,macro,TSLA,CNBC,neutral,high,news
Bitcoin event impacts volatility,49.66,2025-07-18,ai,NVDA,Bloomberg,neutral,low,news
Fed event impacts volatility,57.11,2025-07-21,fed,TSLA,Reuters,positive,low,news
Market event impacts volatility,92.04,2025-07-21,earnings,NVDA,Bloomberg,positive,medium,news
Fed event impacts volatility,7.4,2025-07-22,macro,SPY,Reuters,positive,medium,news
AI event impacts volatility,12.04,2025-07-22,fed,NVDA,Bloomberg,neutral,medium,news
ETF event impacts volatility,28.42,2025-07-23,fed,SPY,Bloomberg,neutral,medium,news
ETF event impacts volatility,89.36,2025-07-23,macro,SPY,CNBC,positive,low,news
AI event impacts volatility,25.34,2025-07-24,macro,TSLA,Bloomberg,positive,medium,news
AI event impacts volatility,75.48,2025-07-24,fed,SPY,Reuters,positive,high,news
Market event impacts volatility,50.3,2025-07-25,crypto,TSLA,Bloomberg,negative,low,news
ETF event impacts volatility,57.35,2025-07-25,ai,NVDA,Bloomberg,positive,low,news
Fed event impacts volatility,42.38,2025-07-28,macro,BTC,Reuters,neutral,medium,news
ETF event impacts volatility,22.28,2025-07-28,ai,TSLA,Bloomberg,negative,high,news
Market event impacts volatility,14.86,2025-07-29,ai,SPY,Bloomberg,negative,low,news
AI event impacts volatility,40.42,2025-07-29,crypto,BTC,Bloomberg,negative,low,news
ETF event impacts volatility,99.12,2025-07-30,ai,BTC,Reuters,negative,low,news
AI event impacts volatility,15.09,2025-07-30,ai,TSLA,CNBC,positive,medium,news
Market event impacts volatility,68.53,2025-07-31,macro,TSLA,CNBC,neutral,low,news
AI event impacts volatility,63.93,2025-07-31,ai,SPY,CNBC,positive,medium,news
Fed event impacts volatility,57.14,2025-08-01,fed,NVDA,Reuters,positive,medium,news
ETF event impacts volatility,78.83,2025-08-01,crypto,SPY,Bloomberg,neutral,high,news
AI event impacts volatility,98.03,2025-08-04,earnings,BTC,Bloomberg,neutral,medium,news
Market event impacts volatility,46.71,2025-08-04,fed,SPY,Bloomberg,positive,medium,news
ETF event impacts volatility,88.11,2025-08-05,macro,NVDA,Reuters,neutral,low,news
Fed event impacts volatility,78.18,2025-08-05,earnings,BTC,Bloomberg,positive,low,news
Fed event impacts volatility,90.83,2025-08-06,crypto,BTC,CNBC,positive,high,news
ETF event impacts volatility,43.99,2025-08-06,macro,TSLA,Reuters,positive,high,news
Market event impacts volatility,3.91,2025-08-07,macro,SPY,CNBC,positive,high,news
AI event impacts volatility,59.05,2025-08-07,macro,BTC,CNBC,negative,low,news
Fed event impacts volatility,34.3,2025-08-08,fed,TSLA,Bloomberg,positive,medium,news
Fed event impacts volatility,38.32,2025-08-08,macro,NVDA,Reuters,negative,low,news
AI event impacts volatility,21.12,2025-08-11,crypto,SPY,Bloomberg,negative,high,news
ETF event impacts volatility,5.58,2025-08-11,earnings,SPY,Reuters,positive,medium,news
Fed event impacts volatility,33.17,2025-08-12,earnings,NVDA,Bloomberg,positive,medium,news
AI event impacts volatility,8.04,2025-08-12,crypto,SPY,Bloomberg,positive,medium,news
Market event impacts volatility,69.38,2025-08-13,macro,TSLA,Bloomberg,positive,medium,news
ETF event impacts volatility,41.22,2025-08-13,crypto,BTC,Reuters,negative,high,news
Bitcoin event impacts volatility,73.8,2025-08-14,earnings,TSLA,CNBC,negative,low,news
Fed event impacts volatility,12.04,2025-08-14,fed,TSLA,CNBC,negative,medium,news
Market event impacts volatility,3.48,2025-08-15,ai,SPY,Reuters,neutral,medium,news
Market event impacts volatility,19.44,2025-08-15,fed,TSLA,Bloomberg,neutral,high,news
AI event impacts volatility,54.36,2025-08-18,fed,BTC,CNBC,neutral,high,news
ETF event impacts volatility,71.38,2025-08-18,crypto,TSLA,CNBC,positive,high,news
Fed event impacts volatility,6.06,2025-08-19,macro,BTC,Reuters,negative,medium,news
AI event impacts volatility,45.58,2025-08-19,earnings,BTC,CNBC,positive,low,news
AI event impacts volatility,98.69,2025-08-20,macro,NVDA,Reuters,positive,medium,news
Fed event impacts volatility,53.14,2025-08-20,crypto,NVDA,Bloomberg,negative,high,news
ETF event impacts volatility,74.29,2025-08-21,crypto,BTC,CNBC,neutral,high,news
AI event impacts volatility,78.76,2025-08-21,ai,TSLA,Bloomberg,neutral,medium,news
Bitcoin event impacts volatility,91.74,2025-08-22,fed,SPY,CNBC,negative,medium,news
Fed event impacts volatility,23.97,2025-08-22,ai,NVDA,Bloomberg,positive,high,news
Fed event impacts volatility,70.9,2025-08-25,fed,SPY,CNBC,positive,high,news
Fed event impacts volatility,77.48,2025-08-25,fed,BTC,Bloomberg,negative,high,news
Bitcoin event impacts volatility,27.22,2025-08-26,fed,BTC,Bloomberg,negative,low,news
ETF event impacts volatility,66.83,2025-08-26,ai,NVDA,Reuters,positive,high,news
Fed event impacts volatility,17.22,2025-08-27,crypto,BTC,CNBC,neutral,high,news
AI event impacts volatility,73.91,2025-08-27,macro,TSLA,CNBC,negative,medium,news
Fed event impacts volatility,90.47,2025-08-28,macro,SPY,CNBC,negative,low,news
Fed event impacts volatility,1.98,2025-08-28,macro,NVDA,Bloomberg,neutral,high,news
AI event impacts volatility,94.11,2025-08-29,crypto,TSLA,CNBC,neutral,high,news
ETF event impacts volatility,0.48,2025-08-29,macro,NVDA,CNBC,negative,medium,news
AI event impacts volatility,57.75,2025-09-01,fed,NVDA,Bloomberg,negative,medium,news
AI event impacts volatility,73.52,2025-09-01,earnings,TSLA,Reuters,neutral,low,news
Market event impacts volatility,25.68,2025-09-02,ai,TSLA,Bloomberg,neutral,medium,news
Bitcoin event impacts volatility,35.34,2025-09-02,earnings,TSLA,Bloomberg,positive,medium,news
AI event impacts volatility,50.23,2025-09-03,crypto,NVDA,CNBC,positive,low,news
AI event impacts volatility,35.46,2025-09-03,crypto,TSLA,CNBC,negative,high,news
Bitcoin event impacts volatility,81.94,2025-09-04,crypto,TSLA,Reuters,neutral,medium,news
AI event impacts volatility,53.95,2025-09-04,earnings,SPY,CNBC,neutral,low,news
Fed event impacts volatility,17.01,2025-09-05,ai,NVDA,CNBC,negative,medium,news
Fed event impacts volatility,6.83,2025-09-05,fed,BTC,Bloomberg,neutral,low,news
Fed event impacts volatility,94.75,2025-09-08,macro,SPY,CNBC,positive,low,news
Bitcoin event impacts volatility,39.44,2025-09-08,fed,SPY,Bloomberg,neutral,low,news
Bitcoin event impacts volatility,30.96,2025-09-09,macro,TSLA,Reuters,neutral,high,news
Fed event impacts volatility,35.0,2025-09-09,crypto,BTC,CNBC,negative,medium,news
Fed event impacts volatility,80.8,2025-09-10,macro,BTC,CNBC,positive,medium,news
ETF event impacts volatility,88.24,2025-09-10,earnings,SPY,Bloomberg,neutral,medium,news
Bitcoin event impacts volatility,3.84,2025-09-11,macro,BTC,Reuters,positive,low,news
Bitcoin event impacts volatility,54.07,2025-09-11,crypto,NVDA,Bloomberg,negative,low,news
ETF event impacts volatility,73.37,2025-09-12,ai,SPY,CNBC,positive,high,news
Fed event impacts volatility,19.72,2025-09-12,macro,SPY,Bloomberg,positive,low,news
Fed event impacts volatility,77.19,2025-09-15,earnings,TSLA,CNBC,neutral,high,news
Bitcoin event impacts volatility,27.29,2025-09-15,fed,BTC,Reuters,neutral,low,news
AI event impacts volatility,13.89,2025-09-16,crypto,TSLA,CNBC,positive,low,news
AI event impacts volatility,98.86,2025-09-16,macro,TSLA,CNBC,positive,low,news
Market event impacts volatility,7.32,2025-09-17,ai,TSLA,CNBC,positive,medium,news
AI event impacts volatility,66.03,2025-09-17,macro,TSLA,Bloomberg,negative,medium,news
Bitcoin event impacts volatility,86.34,2025-09-18,crypto,TSLA,Reuters,negative,high,news
Fed event impacts volatility,2.8,2025-09-18,macro,NVDA,Reuters,negative,low,news
Fed event impacts volatility,61.41,2025-09-19,fed,SPY,Reuters,positive,medium,news
AI event impacts volatility,82.73,2025-09-19,crypto,BTC,CNBC,negative,high,news
Market event impacts volatility,87.09,2025-09-22,crypto,BTC,CNBC,positive,medium,news
Market event impacts volatility,59.63,2025-09-22,crypto,BTC,Bloomberg,neutral,medium,news
Bitcoin event impacts volatility,53.01,2025-09-23,fed,SPY,Bloomberg,positive,medium,news
AI event impacts volatility,47.51,2025-09-23,ai,NVDA,Reuters,negative,high,news
Market event impacts volatility,18.84,2025-09-24,ai,NVDA,CNBC,neutral,low,news
ETF event impacts volatility,3.9,2025-09-24,crypto,BTC,Bloomberg,negative,high,news
Bitcoin event impacts volatility,27.5,2025-09-25,fed,SPY,Bloomberg,negative,medium,news
Market event impacts volatility,81.15,2025-09-25,ai,BTC,Bloomberg,negative,medium,news
AI event impacts volatility,7.37,2025-09-26,fed,NVDA,CNBC,neutral,low,news
Market event impacts volatility,35.54,2025-09-26,ai,NVDA,Bloomberg,neutral,low,news
Market event impacts volatility,77.04,2025-09-29,crypto,TSLA,CNBC,neutral,low,news
ETF event impacts volatility,42.86,2025-09-29,macro,BTC,CNBC,neutral,high,news
Fed event impacts volatility,24.14,2025-09-30,fed,SPY,Bloomberg,positive,high,news
ETF event impacts volatility,62.33,2025-09-30,earnings,BTC,CNBC,neutral,high,news
Market event impacts volatility,28.81,2025-10-01,macro,BTC,Bloomberg,negative,low,news
Bitcoin event impacts volatility,15.51,2025-10-01,fed,TSLA,Reuters,negative,high,news
Bitcoin event impacts volatility,54.41,2025-10-02,crypto,TSLA,CNBC,negative,medium,news
ETF event impacts volatility,2.06,2025-10-02,macro,SPY,CNBC,negative,low,news
ETF event impacts volatility,41.38,2025-10-03,fed,TSLA,Bloomberg,negative,high,news
AI event impacts volatility,44.52,2025-10-03,crypto,SPY,Bloomberg,negative,medium,news
Fed event impacts volatility,2.63,2025-10-06,crypto,TSLA,CNBC,positive,medium,news
Market event impacts volatility,99.3,2025-10-06,ai,BTC,Reuters,neutral,low,news
Fed event impacts volatility,72.83,2025-10-07,ai,TSLA,CNBC,negative,medium,news
Fed event impacts volatility,54.26,2025-10-07,fed,NVDA,Reuters,neutral,high,news
ETF event impacts volatility,82.88,2025-10-08,ai,SPY,CNBC,neutral,medium,news
Fed event impacts volatility,25.43,2025-10-08,ai,SPY,Bloomberg,negative,high,news
Fed event impacts volatility,13.55,2025-10-09,crypto,SPY,Bloomberg,negative,high,news
AI event impacts volatility,64.08,2025-10-09,macro,SPY,Reuters,neutral,medium,news
Bitcoin event impacts volatility,11.27,2025-10-10,crypto,SPY,Bloomberg,neutral,low,news
AI event impacts volatility,1.45,2025-10-10,macro,NVDA,CNBC,negative,medium,news
Market event impacts volatility,9.6,2025-10-13,crypto,SPY,CNBC,neutral,high,news
Market event impacts volatility,66.71,2025-10-13,crypto,BTC,Bloomberg,positive,medium,news
Market event impacts volatility,44.08,2025-10-14,macro,BTC,CNBC,positive,medium,news
Bitcoin event impacts volatility,85.01,2025-10-14,crypto,NVDA,Reuters,neutral,high,news
Market event impacts volatility,26.05,2025-10-15,fed,TSLA,Reuters,neutral,medium,news
Bitcoin event impacts volatility,3.63,2025-10-15,macro,TSLA,Reuters,positive,medium,news
Fed event impacts volatility,95.86,2025-10-16,crypto,NVDA,Reuters,negative,low,news
AI event impacts volatility,74.14,2025-10-16,crypto,BTC,Reuters,neutral,low,news
Fed event impacts volatility,45.19,2025-10-17,earnings,SPY,Bloomberg,positive,medium,news
ETF event impacts volatility,33.52,2025-10-17,earnings,NVDA,Reuters,neutral,low,news
Market event impacts volatility,71.19,2025-10-20,fed,NVDA,Reuters,negative,medium,news
Market event impacts volatility,34.45,2025-10-20,macro,BTC,Reuters,positive,medium,news
Fed event impacts volatility,38.87,2025-10-21,fed,TSLA,Bloomberg,neutral,medium,news
ETF event impacts volatility,10.29,2025-10-21,earnings,NVDA,Bloomberg,negative,low,news
Fed event impacts volatility,6.07,2025-10-22,earnings,NVDA,Bloomberg,negative,medium,news
ETF event impacts volatility,71.47,2025-10-22,crypto,SPY,CNBC,positive,high,news
AI event impacts volatility,80.28,2025-10-23,ai,NVDA,CNBC,neutral,medium,news
AI event impacts volatility,91.3,2025-10-23,crypto,SPY,CNBC,neutral,low,news
Bitcoin event impacts volatility,67.48,2025-10-24,ai,SPY,CNBC,positive,low,news
Bitcoin event impacts volatility,61.39,2025-10-24,ai,BTC,CNBC,positive,low,news
AI event impacts volatility,56.27,2025-10-27,ai,SPY,Bloomberg,positive,low,news
Fed event impacts volatility,8.86,2025-10-27,crypto,TSLA,Reuters,negative,high,news
Fed event impacts volatility,59.58,2025-10-28,crypto,BTC,CNBC,negative,medium,news
Market event impacts volatility,26.65,2025-10-28,macro,NVDA,Reuters,neutral,medium,news
Fed event impacts volatility,45.88,2025-10-29,earnings,SPY,CNBC,positive,medium,news
Fed event impacts volatility,35.47,2025-10-29,fed,BTC,Bloomberg,positive,low,news
Fed event impacts volatility,72.42,2025-10-30,macro,TSLA,Reuters,positive,high,news
AI event impacts volatility,63.99,2025-10-30,earnings,BTC,Reuters,negative,high,news
Bitcoin event impacts volatility,51.16,2025-10-31,ai,BTC,Reuters,negative,medium,news
AI event impacts volatility,72.26,2025-10-31,ai,TSLA,Reuters,positive,high,news
Market event impacts volatility,12.85,2025-11-03,fed,NVDA,CNBC,neutral,high,news
AI event impacts volatility,34.04,2025-11-03,crypto,SPY,Bloomberg,negative,low,news
Market event impacts volatility,30.34,2025-11-04,fed,NVDA,Bloomberg,neutral,medium,news
Fed event impacts volatility,35.15,2025-11-04,crypto,NVDA,CNBC,neutral,high,news
ETF event impacts volatility,87.57,2025-11-05,ai,TSLA,CNBC,negative,medium,news
ETF event impacts volatility,49.66,2025-11-05,ai,TSLA,Bloomberg,neutral,high,news
Market event impacts volatility,13.12,2025-11-06,macro,TSLA,Reuters,neutral,medium,news
Fed event impacts volatility,26.97,2025-11-06,fed,SPY,Bloomberg,neutral,low,news
Market event impacts volatility,47.61,2025-11-07,crypto,BTC,Bloomberg,positive,high,news
Bitcoin event impacts volatility,84.01,2025-11-07,earnings,NVDA,Bloomberg,positive,high,news
Fed event impacts volatility,35.67,2025-11-10,ai,SPY,Bloomberg,positive,low,news
Fed event impacts volatility,5.61,2025-11-10,fed,TSLA,Bloomberg,positive,low,news
Bitcoin event impacts volatility,80.0,2025-11-11,ai,SPY,Reuters,positive,high,news
Market event impacts volatility,65.78,2025-11-11,fed,TSLA,CNBC,negative,low,news
Market event impacts volatility,48.86,2025-11-12,earnings,TSLA,CNBC,positive,high,news
Fed event impacts volatility,4.78,2025-11-12,macro,SPY,CNBC,negative,high,news
ETF event impacts volatility,60.66,2025-11-13,fed,NVDA,Bloomberg,negative,high,news
Market event impacts volatility,90.52,2025-11-13,crypto,BTC,Bloomberg,positive,low,news
Bitcoin event impacts volatility,72.71,2025-11-14,earnings,TSLA,CNBC,negative,high,news
Market event impacts volatility,62.79,2025-11-14,macro,TSLA,Bloomberg,neutral,high,news
AI event impacts volatility,12.42,2025-11-17,macro,TSLA,Reuters,neutral,medium,news
AI event impacts volatility,29.15,2025-11-17,earnings,TSLA,CNBC,negative,medium,news
Bitcoin event impacts volatility,93.07,2025-11-18,fed,BTC,Bloomberg,positive,medium,news
AI event impacts volatility,75.7,2025-11-18,crypto,SPY,Reuters,positive,low,news
AI event impacts volatility,23.33,2025-11-19,earnings,SPY,CNBC,negative,medium,news
ETF event impacts volatility,31.61,2025-11-19,earnings,TSLA,Reuters,positive,high,news
Market event impacts volatility,56.51,2025-11-20,ai,TSLA,CNBC,neutral,low,news
Bitcoin event impacts volatility,50.13,2025-11-20,ai,BTC,CNBC,neutral,medium,news
ETF event impacts volatility,21.91,2025-11-21,earnings,NVDA,CNBC,negative,medium,news
AI event impacts volatility,42.37,2025-11-21,crypto,NVDA,Bloomberg,negative,low,news
ETF event impacts volatility,60.71,2025-11-24,crypto,BTC,Reuters,positive,high,news
Bitcoin event impacts volatility,27.86,2025-11-24,ai,NVDA,Reuters,neutral,high,news
AI event impacts volatility,63.16,2025-11-25,ai,SPY,Reuters,negative,low,news
Market event impacts volatility,69.01,2025-11-25,fed,BTC,CNBC,neutral,high,news
AI event impacts volatility,77.78,2025-11-26,fed,NVDA,CNBC,negative,high,news
Fed event impacts volatility,72.39,2025-11-26,ai,NVDA,Reuters,positive,medium,news
Fed event impacts volatility,86.56,2025-11-27,earnings,BTC,Bloomberg,neutral,medium,news
Fed event impacts volatility,94.22,2025-11-27,ai,TSLA,CNBC,positive,high,news
Bitcoin event impacts volatility,28.79,2025-11-28,earnings,NVDA,CNBC,positive,medium,news
ETF event impacts volatility,12.49,2025-11-28,ai,TSLA,Bloomberg,neutral,medium,news
ETF event impacts volatility,45.35,2025-12-01,earnings,TSLA,Bloomberg,negative,medium,news
Fed event impacts volatility,80.82,2025-12-01,macro,TSLA,Reuters,negative,medium,news
ETF event impacts volatility,56.14,2025-12-02,earnings,BTC,Reuters,neutral,low,news
Bitcoin event impacts volatility,54.95,2025-12-02,crypto,SPY,CNBC,positive,high,news
AI event impacts volatility,96.79,2025-12-03,crypto,NVDA,CNBC,positive,medium,news
Bitcoin event impacts volatility,74.2,2025-12-03,ai,NVDA,Reuters,negative,medium,news
Fed event impacts volatility,45.65,2025-12-04,earnings,SPY,CNBC,negative,medium,news
Bitcoin event impacts volatility,93.19,2025-12-04,crypto,NVDA,CNBC,positive,high,news
AI event impacts volatility,69.31,2025-12-05,fed,BTC,Bloomberg,neutral,low,news
AI event impacts volatility,57.31,2025-12-05,ai,BTC,Bloomberg,positive,high,news
ETF event impacts volatility,94.11,2025-12-08,fed,BTC,Reuters,negative,medium,news
Bitcoin event impacts volatility,12.69,2025-12-08,fed,NVDA,CNBC,neutral,medium,news
ETF event impacts volatility,47.81,2025-12-09,crypto,NVDA,Reuters,positive,medium,news
Bitcoin event impacts volatility,60.56,2025-12-09,ai,SPY,CNBC,neutral,high,news
AI event impacts volatility,11.12,2025-12-10,earnings,SPY,CNBC,positive,high,news
Fed event impacts volatility,90.03,2025-12-10,earnings,NVDA,Reuters,positive,low,news
AI event impacts volatility,97.86,2025-12-11,crypto,BTC,CNBC,negative,high,news
ETF event impacts volatility,94.27,2025-12-11,crypto,BTC,CNBC,positive,low,news
Bitcoin event impacts volatility,80.34,2025-12-12,fed,SPY,Bloomberg,neutral,medium,news
AI event impacts volatility,28.98,2025-12-12,crypto,BTC,Bloomberg,positive,high,news
Market event impacts volatility,49.2,2025-12-15,crypto,NVDA,Bloomberg,neutral,high,news
Bitcoin event impacts volatility,81.83,2025-12-15,macro,NVDA,Bloomberg,neutral,medium,news
AI event impacts volatility,98.21,2025-12-16,crypto,NVDA,Bloomberg,neutral,high,news
AI event impacts volatility,50.38,2025-12-16,crypto,TSLA,Reuters,negative,low,news
Bitcoin event impacts volatility,19.19,2025-12-17,ai,BTC,Reuters,positive,medium,news
AI event impacts volatility,8.68,2025-12-17,macro,BTC,Bloomberg,positive,medium,news
Fed event impacts volatility,76.79,2025-12-18,macro,SPY,Reuters,neutral,medium,news
ETF event impacts volatility,57.39,2025-12-18,ai,SPY,Reuters,negative,high,news
