rebalance_month,ticker,weight,allocation,sector,return_pct,beta,volatility,sharpe_ratio,risk_score,data_type
2025-06,GOOGL,2.21,hedge,Cloud,46.63,0.91,45.17,0.9,12.12,portfolio
2025-07,AAPL,23.55,growth,Consumer,17.59,1.9,27.43,1.08,87.77,portfolio
2025-07,NVDA,8.0,satellite,Consumer,-14.93,2.28,24.36,1.09,30.32,portfolio
2025-07,TSLA,20.29,core,Cloud,34.57,2.12,29.12,0.68,21.47,portfolio
2025-07,MSFT,4.61,satellite,AI,47.46,2.22,35.87,0.68,57.94,portfolio
2025-07,AMZN,8.04,hedge,Tech,21.94,2.4,68.8,2.43,75.04,portfolio
2025-07,META,1.07,satellite,Tech,49.86,2.33,22.07,0.31,7.71,portfolio
2025-07,GOOGL,14.89,core,Consumer,50.64,2.5,17.63,1.04,16.99,portfolio
2025-08,AAPL,21.14,growth,Consumer,51.1,1.84,17.96,0.36,18.34,portfolio
2025-08,NVDA,22.84,satellite,EV,-1.2,1.33,69.45,-0.82,15.54,portfolio
2025-08,TSLA,3.17,hedge,EV,47.35,1.8,20.29,0.83,79.46,portfolio
2025-08,MSFT,8.32,hedge,EV,48.33,1.72,16.08,2.29,49.07,portfolio
2025-08,AMZN,13.7,growth,Cloud,-17.27,1.19,40.99,3.67,14.53,portfolio
2025-08,META,9.05,satellite,Consumer,-23.85,0.81,20.13,3.89,98.58,portfolio
2025-08,GOOGL,21.51,growth,Tech,7.53,0.91,44.32,-0.37,1.04,portfolio
2025-09,AAPL,13.09,growth,Consumer,3.73,0.92,48.19,-0.18,10.32,portfolio
2025-09,NVDA,4.0,growth,Tech,19.77,0.85,40.5,3.91,14.54,portfolio
2025-09,TSLA,14.33,hedge,EV,43.67,1.7,57.62,-0.06,13.35,portfolio
2025-09,MSFT,1.61,core,EV,-16.21,1.69,40.92,3.37,86.54,portfolio
2025-09,AMZN,23.74,growth,Cloud,26.37,1.95,44.32,3.36,10.62,portfolio
2025-09,META,2.14,hedge,EV,56.38,1.9,38.52,1.13,1.01,portfolio
2025-09,GOOGL,17.0,satellite,Tech,55.51,2.27,43.57,3.41,2.87,portfolio
2025-10,AAPL,11.11,core,Cloud,55.31,2.5,38.29,-0.93,28.64,portfolio
2025-10,NVDA,12.02,growth,Consumer,54.49,1.11,39.0,0.23,56.82,portfolio
2025-10,TSLA,17.59,core,Consumer,51.96,1.2,67.51,1.38,34.77,portfolio
2025-10,MSFT,12.16,hedge,EV,-22.9,2.4,16.19,2.24,97.08,portfolio
2025-10,AMZN,13.61,satellite,AI,-20.56,1.64,54.74,2.96,50.85,portfolio
2025-10,META,1.49,satellite,Consumer,41.0,0.81,35.89,0.1,59.35,portfolio
2025-10,GOOGL,16.99,growth,AI,-9.33,1.68,54.34,1.78,9.76,portfolio
2025-11,AAPL,11.77,core,Consumer,-0.43,1.05,39.27,1.47,22.58,portfolio
2025-11,NVDA,22.07,satellite,EV,42.98,2.15,59.44,3.69,77.17,portfolio
2025-11,TSLA,20.13,growth,Tech,-11.44,1.32,43.59,1.72,87.66,portfolio
2025-11,MSFT,16.07,growth,Consumer,14.74,2.04,59.18,2.66,28.76,portfolio
2025-11,AMZN,1.58,satellite,EV,16.63,0.95,51.89,2.54,8.28,portfolio
2025-11,META,1.84,growth,EV,-4.39,1.01,14.47,1.36,20.98,portfolio
2025-11,GOOGL,11.71,satellite,EV,-8.62,1.96,60.79,0.81,10.79,portfolio
2025-12,AAPL,9.62,growth,Tech,30.02,1.66,14.61,1.46,13.88,portfolio
2025-12,NVDA,19.55,core,Tech,30.42,2.11,47.45,2.23,77.36,portfolio
2025-12,TSLA,1.4,hedge,Tech,57.66,1.23,64.05,-0.33,90.11,portfolio
2025-12,MSFT,14.55,satellite,EV,1.21,2.19,27.39,0.42,59.78,portfolio
2025-12,AMZN,8.46,core,EV,10.18,1.15,32.85,0.39,55.45,portfolio
2025-12,META,13.98,hedge,Consumer,46.03,1.75,40.64,1.58,79.92,portfolio
2025-12,GOOGL,13.3,satellite,Cloud,40.34,0.85,50.02,1.57,76.94,portfolio
